k,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin
2,18894.616220953474,0.33256887527786777,2623.643579267582,1.169954951375995
3,15690.665966934923,0.266056571935692,2021.5117466624863,1.3085683191406299
4,12952.819484083046,0.25645555429930095,1937.2363753718842,1.2508500208299895
5,11539.649919723966,0.24912566007349168,1763.040090219901,1.2468898335674852
6,10612.205805490354,0.23330302277912437,1608.9708622894127,1.2752918373810977
7,9793.979349247678,0.22945812380105357,1512.7342437695609,1.2795165107392745
